del,id,tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet
6495,87400,@USER This is a premeditated attack by Democratic liberals and she is being rehearsed. Enough of the scam show. Vote Kavanaugh to SC.,OFF,TIN,GRP,premeditated attack democratic liberals rehearsed enough scam show vote kavanaugh
6496,64320,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I thought the whole world knew Liberals would never answer factual questions. If they adhered to Truth they’d never will another election.,NOT,,,thought whole world knew liberals would never answer factual questions adhered truth never another election
6497,14412,@USER i am a lot older than she is,NOT,,,lot older
6498,72930,@USER He is looking for a place to hide,NOT,,,looking place hide
6499,93229,@USER Here she is @USER 😞,NOT,,,
6500,29608,@USER Evidently she's as big a narcissist as he is.,OFF,TIN,IND,evidently big narcissist
6501,76034,@USER @USER Great and I’m certainly anti fascist but  the group antifa is the most fascist and violent groups in America in case you hadn’t noticed and associated with the largest hate group in America the democratic party,OFF,TIN,GRP,great certainly anti fascist group antifa fascist violent groups america case noticed associated largest hate group america democratic party
6502,79996,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Had all but one. Agreed EVERY one of these MAGA patriots is a must follow. Let's do this together for our great nation in 2018! Then repeat in 2020 and 2022!!!,NOT,,,one agreed every one maga patriots must follow let together great nation 2018 repeat 2020 2022
6503,89389,"@USER @USER If you don't think everybody wants to be rich, sadly you are lying to yourself. Pretending otherwise is simply an excuse to settle. Nothing wrong with settling, but to dismiss those who want more for themselves as greedy"" is disingenuous.""",NOT,,,think everybody wants rich sadly lying pretending otherwise simply excuse settle nothing wrong settling dismiss want greedy disingenuous
6504,28119,"@USER @USER Liberals love to hype the Crouton as a financial genius, but much of his success"" was due to downloading costs to the prov, raiding the EI surplus, etc. That said, you use the tools you have in the box, and I give him props as a decent steward of the public purse.""",NOT,,,liberals love hype crouton financial genius much success due downloading costs prov raiding surplus etc said use tools box give props decent steward public purse
6505,44636,"@USER pffft the new tweet"" just keeps wondering around the interface""",NOT,,,pffft new tweet keeps wondering around interface
6506,13473,@USER Watched the press conf with Trump and heard him say how much we will make when Poland pays us to put in a military base. He is a dottering demented fool who really believes that his goal is for America to make money. You hear it in all he says. This isn’t a hotel.,OFF,TIN,IND,watched press conf trump heard say much make poland pays put military base dottering demented fool really believes goal america make money hear says hotel
6507,58457,@USER @USER @USER 'Think she is one of the Demoncrats.  Hard to imagine that a sane (or living) person would vote for her.,NOT,,,think one demoncrats hard imagine sane living person would vote
6508,16042,"@USER This man is one of the most intelligent highly accomplished Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been successfully able to have him disowned by his own people. No Black child looks up to this man for inspiration bc to them he doesn't exist URL",NOT,,,man one intelligent highly accomplished black men usa yet white liberals old order words successfully able disowned people black child looks man inspiration exist url
6509,17568,@USER @USER @USER Liberals media won't report it,NOT,,,liberals media report
6510,94169,@USER @USER SHE IS A FUCKING MESS!! I HATE HER SO MUCH,OFF,TIN,IND,fucking mess hate much
6511,18591,@USER She is telling to be best  to students. Wow ! What a role model she is.,NOT,,,telling best students wow role model
6512,14067,@USER @USER  ERIC HOLDER IS A FILTHY MAGGOT. URL,OFF,TIN,IND,eric holder filthy maggot url
6513,53108,@USER @USER Yeah and guess what helped DC become Not the Murder Capital of the World?  Gun control! It works!,OFF,TIN,GRP,yeah guess helped become murder capital world gun control works
6514,81355,54 factory workers shot dead in Oklahoma with WASR-10 Century Arms rifle. The NRA blames gun control laws.,NOT,,,factory workers shot dead oklahoma wasr century arms rifle nra blames gun control laws
6515,10619,"Probably indoctrinating"". #MAGA URL",OFF,TIN,GRP,probably indoctrinating url
6516,75449,Shame on @USER @USER @USER @USER @USER and all the rest of the left wing media that are not doing their jobs and purposely looking the other way. This is the best example yet of their #FakeNews bias. #MAGA #WalkAway from the bias and corruption of the left. URL,OFF,TIN,GRP,shame rest left wing media jobs purposely looking way best example yet bias bias corruption left url
6517,71395,@USER @USER The definition of snowflake,NOT,,,definition snowflake
6518,76270,"@USER And everyone knows that Kerry doesn't have a clue!  Heard that from numerous anonymous"" sources who also say he is not sane.  That's what the sources say.""",NOT,,,everyone knows kerry clue heard numerous anonymous sources also say sane sources say
6519,27949,@USER @USER If he is innocent he should be vindicated and there should be penalties for false accusations also.,NOT,,,innocent vindicated penalties false accusations also
6520,51964,@USER And the media will simply not calm down and just report normally and let the folks decide.   They are a propaganda arm of one party and anyone who disagrees with their doctrine is dismissed as evil and worthy of the Auntie Maxine or ANTIFA treatment or worse.,NOT,,,media simply calm report normally let folks decide propaganda arm one party anyone disagrees doctrine dismissed evil worthy auntie maxine antifa treatment worse
6521,28465,@USER Let’s Geaux Tigers! Prove yourselves you are worthy! Show the Nation ! 🐯,NOT,,,let geaux tigers prove worthy show nation
6522,78543,@USER @USER #MAGA said I.,NOT,,,said
6523,12461,@USER Dump MasterCard,NOT,,,dump mastercard
6524,65045,@USER @USER @USER @USER @USER @USER @USER @USER Idk can we?,NOT,,,idk
6525,94663,@USER @USER What a waste of one’s short life.🤷🏻‍♂️🇺🇸,OFF,TIN,IND,waste one short life ‍ ♂ ️
6526,36315,@USER @USER ..long live satire!- if we cannot cut to the truth in this way then we may as well call it a day...🤔😎👌,NOT,,,long live satire cannot cut truth way may well call day
6527,99832,@USER I am definitely for antifa members getting themselves killed.,OFF,TIN,GRP,definitely antifa members getting killed
6528,27176,@USER @USER  It says everything. When your principles hang on the fraudulent word of a porn performer. What integrity have you got left?,OFF,TIN,IND,says everything principles hang fraudulent word porn performer integrity got left
6529,34942,@USER Bigly....lol.....bigly? He didnt won...he was elected by the people of the united states ahole...what he'll are you referring to? Antifa fools that get their asses kicked...vagina hats..lol pathetic ass,OFF,TIN,GRP,bigly lol bigly didnt elected people united states ahole referring antifa fools get asses kicked vagina hats lol pathetic ass
6530,43468,@USER @USER I am talking about your comment that Nick was a fascist...   Brittany means nothing to me.   So like I said are you Antifa?,OFF,TIN,IND,talking comment nick fascist brittany means nothing like said antifa
6531,80716,@USER The facts of the matter are very plain &amp; basic. This has never happened before in recorded history or on other similarly hit islands in the area. The fact it happened on Donald Trump's watch is unsurprising. He did not support them. He is an abject failure and should be dismissed,OFF,TIN,IND,facts matter plain basic never happened recorded history similarly hit islands area fact happened donald trump watch unsurprising support abject failure dismissed
6532,95650,@USER I can't drink. URL,NOT,,,drink url
6533,56813,@USER @USER No Kim you are a failure and your whole life has been,OFF,TIN,IND,kim failure whole life
6534,64583,@USER looks like antifa,NOT,,,looks like antifa
6535,22843,@USER @USER Then she should step down. It's not about her. She was elected by liberals. She has power cuz of liberals.,NOT,,,step elected liberals power cuz liberals
6536,97598,@USER @USER @USER White cops are called racists by mobs and liberals daily,NOT,,,white cops called racists mobs liberals daily
6537,22125,19. Probably John Adams. I'd love a chance to talk to a founding father and ask them about gun control.,NOT,,,probably john adams love chance talk founding father ask gun control
6538,44170,@USER @USER @USER Bad people don’t obey the law. There are many more guns in circulation in North America than there are people. Gun control is liberal mind masturbation.,OFF,TIN,GRP,bad people obey law many guns circulation north america people gun control liberal mind masturbation
6539,17319,@USER True point.  Gun control is total bullshit.,OFF,UNT,,true point gun control total bullshit
6540,68873,@USER Yes and give you energy naturally. Keeps you hydrated,NOT,,,yes give energy naturally keeps hydrated
6541,71797,@USER @USER why bore me with something that don't mean nothing at all what she done in the past and who she is now. Wow she wore tracksuit she probably would of warn many of things?..!,NOT,,,bore something mean nothing done past wow wore tracksuit probably would warn many things
